Attribute,Value,Year,Month,Year,Month,Year,Month
EUR,101.862,2007,July,2007,July,2007,June
EUR,101.869,2007,July,2007,July,2007,June
EUR,101.88347,2006,September,2006,September,2006,August
EUR,101.89035,2006,October,2006,October,2006,September
EUR,101.89173,2006,July,2006,July,2006,June
EUR,101.91702,2006,July,2006,July,2006,June
EUR,101.919,2007,May,2007,May,2007,April
EUR,101.93891,2006,September,2006,September,2006,August
EUR,101.946,2009,March,2009,April,2008,December
EUR,101.95492,2006,August,2006,August,2006,August
EUR,101.95887,2006,October,2006,November,2006,October
EUR,101.963,2007,August,2007,September,2007,August
EUR,101.96617,2006,June,2006,June,2006,June
EUR,101.96617,2006,July,2006,July,2006,July
EUR,101.98478,2004,July,2004,July,2004,July
EUR,101.992,2008,October,2008,October,2008,July
EUR,102.029,2007,August,2007,August,2007,August
EUR,102.034,2007,July,2007,August,2007,July
EUR,102.0354,2004,June,2004,June,2004,June
EUR,102.07753,2004,September,2004,September,2004,September
EUR,102.08,2007,August,2007,August,2007,July
EUR,102.09097,2004,June,2004,June,2004,June
EUR,102.09105,2006,July,2006,July,2006,July
EUR,102.11492,2006,August,2006,August,2006,August
EUR,102.12279,2006,October,2006,October,2006,September
EUR,102.12583,2006,August,2006,August,2006,July
EUR,102.128,2007,September,2007,September,2007,August
EUR,102.1385,2004,January,2004,January,2004,January
EUR,102.151,2007,May,2007,May,2007,April
EUR,102.166,2008,October,2008,October,2008,July
EUR,102.171,2007,August,2007,August,2007,August
EUR,102.17145,2006,September,2006,September,2006,September
EUR,102.17203,2006,July,2006,July,2006,June
EUR,102.173,2007,September,2007,September,2007,August
EUR,102.18059,2006,May,2006,May,2006,April
EUR,102.18328,2004,February,2004,February,2004,February
EUR,102.18997,2006,May,2006,June,2006,May
EUR,102.192,2007,August,2007,August,2007,July
EUR,102.20991,2004,July,2004,July,2004,July
EUR,102.22366,2006,November,2006,November,2006,October
EUR,102.228,2009,April,2009,April,2009,January
EUR,102.23759,2004,July,2004,July,2004,July
EUR,102.25421,2006,August,2006,August,2006,July
EUR,102.26252,2006,July,2006,July,2006,June
EUR,102.26516,2006,November,2006,November,2006,October
EUR,102.27371,2004,February,2004,February,2004,February
EUR,102.30806,2006,May,2006,May,2006,May
EUR,102.31,2009,April,2009,April,2009,January
EUR,102.315,2007,September,2007,September,2007,August
EUR,102.32652,2004,February,2004,February,2004,February
EUR,102.361,2008,October,2008,October,2008,July
EUR,102.364,2007,August,2007,August,2007,July
EUR,102.37055,2006,June,2006,June,2006,May
EUR,102.3715,2006,August,2006,August,2006,August
EUR,102.37278,2004,September,2004,September,2004,September
EUR,102.38949,2004,September,2004,September,2004,September
EUR,102.39744,2006,July,2006,July,2006,June
EUR,102.422,2009,March,2009,April,2008,December
EUR,102.42425,2006,November,2006,November,2006,October
EUR,102.42566,2006,November,2006,November,2006,October
EUR,102.44835,2006,May,2006,May,2006,May
EUR,102.44947,2006,August,2006,August,2006,July
EUR,102.45129,2006,August,2006,August,2006,July
EUR,102.461,2008,October,2008,October,2008,July
EUR,102.462,2007,August,2007,August,2007,July
EUR,102.4754,2006,November,2006,November,2006,November
EUR,102.47585,2006,August,2006,August,2006,August
EUR,102.49194,2006,September,2006,September,2006,August
EUR,102.49386,2004,August,2004,August,2004,August
EUR,102.49755,2005,November,2005,November,2005,October
EUR,102.50425,2004,September,2004,September,2004,September
EUR,102.51,2009,May,2009,May,2009,February
EUR,102.524,2008,October,2008,October,2008,July
EUR,102.53204,2006,November,2006,November,2006,October
EUR,102.53874,2004,February,2004,February,2004,February
EUR,102.544,2007,July,2007,July,2007,July
EUR,102.54633,2006,June,2006,June,2006,May
EUR,102.54793,2006,August,2006,August,2006,August
EUR,102.54878,2004,August,2004,August,2004,August
EUR,102.582,2009,March,2009,March,2008,December
EUR,102.5904,2006,November,2006,November,2006,October
EUR,102.60972,2006,August,2006,August,2006,July
EUR,102.62161,2006,July,2006,July,2006,June
EUR,102.62582,2006,August,2006,August,2006,July
EUR,102.649,2007,July,2007,July,2007,July
EUR,102.68472,2006,November,2006,November,2006,October
EUR,102.696,2009,April,2009,April,2009,January
EUR,102.701,2007,August,2007,August,2007,July
EUR,102.7083,2006,August,2006,September,2006,August
EUR,102.7084,2006,September,2006,September,2006,August
EUR,102.71488,2006,May,2006,May,2006,April
EUR,102.73307,2006,November,2006,November,2006,November
EUR,102.74393,2006,July,2006,July,2006,June
EUR,102.78837,2006,August,2006,August,2006,August
EUR,102.791,2007,July,2007,July,2007,June
EUR,102.79888,2006,May,2006,May,2006,May
EUR,102.80438,2006,September,2006,September,2006,August
EUR,102.82111,2004,July,2004,July,2004,July
EUR,102.82282,2006,November,2006,November,2006,October
EUR,102.846,2009,January,2009,January,2008,September
EUR,102.85629,2004,February,2004,February,2004,February
EUR,102.875,2009,April,2009,May,2009,January
EUR,102.905,2009,January,2009,January,2008,September
EUR,102.92071,2004,August,2004,August,2004,August
EUR,102.92375,2006,August,2006,August,2006,July
EUR,102.92418,2006,September,2006,September,2006,August
EUR,102.93851,2006,November,2006,November,2006,November
EUR,102.94452,2004,August,2004,August,2004,August
EUR,102.95346,2004,August,2004,August,2004,August
EUR,102.976,2007,July,2007,July,2007,June
EUR,102.9922,2004,August,2004,August,2004,August
EUR,103.001,2007,August,2007,August,2007,July
EUR,103.01553,2004,September,2004,September,2004,August
EUR,103.027,2007,May,2007,May,2007,April
EUR,103.036,2007,July,2007,July,2007,June
